Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
2,-0.872171,-0.777677,1.805609,0.083696,-0.184028,-0.000009
3,-0.873218,-0.783907,1.773936,0.091491,-0.186637,-0.000401
4,-0.875823,-0.792616,1.739991,0.100366,-0.189921,-0.000818
5,-0.879925,-0.803660,1.703923,0.110255,-0.193853,-0.001256
6,-0.885448,-0.816891,1.665897,0.121084,-0.198395,-0.001694
7,-0.892335,-0.832160,1.626027,0.132783,-0.203523,-0.002145
8,-0.900519,-0.849303,1.584469,0.145275,-0.209205,-0.002592
9,-0.909917,-0.868173,1.541371,0.158491,-0.215405,-0.003043
10,-0.920475,-0.888598,1.496870,0.172351,-0.222098,-0.003481
11,-0.932103,-0.910433,1.451113,0.186787,-0.229243,-0.003913
12,-0.944735,-0.933499,1.404238,0.201715,-0.236811,-0.004340
13,-0.958288,-0.957643,1.356405,0.217066,-0.244766,-0.004747
14,-0.972693,-0.982702,1.307746,0.232763,-0.253076,-0.005146
15,-0.987862,-1.008523,1.258424,0.248738,-0.261703,-0.005533
16,-1.003731,-1.034944,1.208573,0.264915,-0.270617,-0.005908
17,-1.020198,-1.061809,1.158357,0.281223,-0.279775,-0.006261
18,-1.037201,-1.088960,1.107913,0.297588,-0.289147,-0.006610
19,-1.054659,-1.116259,1.057388,0.313947,-0.298700,-0.006947
20,-1.072487,-1.143557,1.006940,0.330231,-0.308393,-0.007266
21,-1.090617,-1.170715,0.956693,0.346376,-0.318199,-0.007582
22,-1.108969,-1.197600,0.906800,0.362319,-0.328080,-0.007881
23,-1.127452,-1.224065,0.857409,0.377992,-0.337996,-0.008175
24,-1.146024,-1.250010,0.808622,0.393347,-0.347929,-0.008458
25,-1.164581,-1.275306,0.760609,0.408323,-0.357832,-0.008733
26,-1.183064,-1.299828,0.713468,0.422862,-0.367679,-0.008997
27,-1.201388,-1.323490,0.667339,0.436920,-0.377433,-0.009255
28,-1.219493,-1.346184,0.622330,0.450446,-0.387065,-0.009507
29,-1.237299,-1.367816,0.578560,0.463396,-0.396540,-0.009750
30,-1.254752,-1.388296,0.536108,0.475723,-0.405835,-0.009988
31,-1.271787,-1.407544,0.495077,0.487390,-0.414920,-0.010214
32,-1.288322,-1.425498,0.455566,0.498364,-0.423760,-0.010429
33,-1.304306,-1.442082,0.417646,0.508609,-0.432330,-0.010637
34,-1.319676,-1.457242,0.381390,0.518098,-0.440604,-0.010838
35,-1.334367,-1.470915,0.346870,0.526798,-0.448553,-0.011029
36,-1.348342,-1.483065,0.314123,0.534692,-0.456161,-0.011210
37,-1.361523,-1.493648,0.283216,0.541759,-0.463393,-0.011381
38,-1.373870,-1.502628,0.254184,0.547980,-0.470233,-0.011536
39,-1.385322,-1.509982,0.227068,0.553344,-0.476654,-0.011680
40,-1.395846,-1.515688,0.201873,0.557842,-0.482642,-0.011813
41,-1.405383,-1.519727,0.178641,0.561464,-0.488172,-0.011928
42,-1.413898,-1.522089,0.157371,0.564208,-0.493231,-0.012026
43,-1.421355,-1.522771,0.138056,0.566074,-0.497804,-0.012112
44,-1.427699,-1.521780,0.120721,0.567068,-0.501867,-0.012180
45,-1.432915,-1.519103,0.105332,0.567185,-0.505418,-0.012234
46,-1.436960,-1.514769,0.091894,0.566445,-0.508436,-0.012267
47,-1.439809,-1.508781,0.080374,0.564852,-0.510917,-0.012281
48,-1.441440,-1.501161,0.070752,0.562421,-0.512850,-0.012278
49,-1.441811,-1.491923,0.063013,0.559164,-0.514221,-0.012254
50,-1.440926,-1.481117,0.057103,0.555111,-0.515032,-0.012207
51,-1.438770,-1.468751,0.052981,0.550271,-0.515283,-0.012150
52,-1.435296,-1.454866,0.050636,0.544671,-0.514953,-0.012073
53,-1.430530,-1.439499,0.049989,0.538335,-0.514058,-0.011972
54,-1.424439,-1.422691,0.051013,0.531291,-0.512587,-0.011858
55,-1.417031,-1.404484,0.053651,0.523563,-0.510545,-0.011723
56,-1.408304,-1.384923,0.057840,0.515183,-0.507935,-0.011573
57,-1.398262,-1.364056,0.063524,0.506181,-0.504764,-0.011404
58,-1.386887,-1.341941,0.070657,0.496592,-0.501024,-0.011221
59,-1.374201,-1.318635,0.079162,0.486452,-0.496731,-0.011016
60,-1.360220,-1.294177,0.088977,0.475785,-0.491894,-0.010802
61,-1.344941,-1.268621,0.100048,0.464627,-0.486513,-0.010573
62,-1.328395,-1.242037,0.112287,0.453016,-0.480605,-0.010332
63,-1.310605,-1.214481,0.125624,0.440988,-0.474185,-0.010076
64,-1.291573,-1.186009,0.140003,0.428576,-0.467254,-0.009811
65,-1.271316,-1.156675,0.155351,0.415812,-0.459823,-0.009533
66,-1.249873,-1.126559,0.171584,0.402741,-0.451911,-0.009248
67,-1.227281,-1.095713,0.188627,0.389392,-0.443537,-0.008950
68,-1.203533,-1.064195,0.206427,0.375800,-0.434697,-0.008648
69,-1.178691,-1.032066,0.224888,0.361998,-0.425422,-0.008337
70,-1.152782,-0.999402,0.243935,0.348026,-0.415724,-0.008019
71,-1.125840,-0.966249,0.263499,0.333912,-0.405619,-0.007698
72,-1.097898,-0.932678,0.283505,0.319691,-0.395123,-0.007373
73,-1.069007,-0.898740,0.303869,0.305390,-0.384258,-0.007044
74,-1.039198,-0.864507,0.324526,0.291048,-0.373039,-0.006713
75,-1.008520,-0.830025,0.345399,0.276687,-0.361485,-0.006385
76,-0.977011,-0.795360,0.366421,0.262338,-0.349614,-0.006049
77,-0.944715,-0.760575,0.387519,0.248036,-0.337444,-0.005718
78,-0.911684,-0.725717,0.408620,0.233800,-0.324998,-0.005387
79,-0.877964,-0.690835,0.429664,0.219655,-0.312295,-0.005053
80,-0.843612,-0.655990,0.450579,0.205627,-0.299358,-0.004730
81,-0.808662,-0.621224,0.471316,0.191738,-0.286200,-0.004396
82,-0.773174,-0.586596,0.491801,0.178012,-0.272847,-0.004079
83,-0.737205,-0.552140,0.511976,0.164463,-0.259324,-0.003757
84,-0.700788,-0.517909,0.531806,0.151115,-0.245639,-0.003437
85,-0.663994,-0.483940,0.551223,0.137982,-0.231825,-0.003127
86,-0.626871,-0.450286,0.570180,0.125086,-0.217900,-0.002815
87,-0.589478,-0.416969,0.588625,0.112434,-0.203887,-0.002518
88,-0.551847,-0.384036,0.606532,0.100044,-0.189799,-0.002220
89,-0.514048,-0.351511,0.623854,0.087924,-0.175663,-0.001925
90,-0.476142,-0.319439,0.640543,0.076091,-0.161505,-0.001644
91,-0.438154,-0.287830,0.656590,0.064545,-0.147333,-0.001361
92,-0.400169,-0.256726,0.671937,0.053301,-0.133183,-0.001090
93,-0.362210,-0.226151,0.686581,0.042367,-0.119061,-0.000822
94,-0.324342,-0.196117,0.700490,0.031742,-0.104994,-0.000562
95,-0.286622,-0.166649,0.713637,0.021433,-0.091005,-0.000312
96,-0.249096,-0.137767,0.726004,0.011445,-0.077112,-0.000076
97,-0.211815,-0.109483,0.737583,0.001779,-0.063335,0.000165
98,-0.174815,-0.081814,0.748364,-0.007563,-0.049687,0.000392
99,-0.138152,-0.054769,0.758331,-0.016581,-0.036193,0.000610
100,-0.101869,-0.028347,0.767489,-0.025281,-0.022868,0.000825
101,-0.066006,-0.002574,0.775828,-0.033657,-0.009727,0.001031
102,-0.030608,0.022560,0.783349,-0.041716,0.003211,0.001230
103,0.004280,0.047058,0.790054,-0.049466,0.015928,0.001420
104,0.038621,0.070908,0.795943,-0.056906,0.028409,0.001597
105,0.072385,0.094113,0.801030,-0.064041,0.040644,0.001774
106,0.105518,0.116669,0.805315,-0.070875,0.052609,0.001944
107,0.138004,0.138601,0.808820,-0.077423,0.064300,0.002099
108,0.169799,0.159895,0.811547,-0.083684,0.075698,0.002251
109,0.200880,0.180560,0.813514,-0.089665,0.086795,0.002392
110,0.231225,0.200618,0.814743,-0.095381,0.097581,0.002534
111,0.260794,0.220075,0.815243,-0.100838,0.108041,0.002662
112,0.289576,0.238930,0.815038,-0.106040,0.118171,0.002786
113,0.317540,0.257197,0.814146,-0.110995,0.127958,0.002905
114,0.344659,0.274900,0.812584,-0.115720,0.137391,0.003013
115,0.370935,0.292051,0.810387,-0.120223,0.146472,0.003115
