Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
2,-0.884319,-0.763528,1.818347,0.084802,-0.183416,-0.000008
3,-0.883534,-0.767879,1.787992,0.092225,-0.185701,0.000209
4,-0.884054,-0.774499,1.755578,0.100706,-0.188631,0.000442
5,-0.885818,-0.783272,1.721243,0.110185,-0.192172,0.000679
6,-0.888800,-0.794069,1.685085,0.120597,-0.196307,0.000931
7,-0.892939,-0.806759,1.647242,0.131875,-0.201005,0.001183
8,-0.898175,-0.821212,1.607836,0.143952,-0.206233,0.001438
9,-0.904472,-0.837291,1.566969,0.156758,-0.211970,0.001695
10,-0.911782,-0.854867,1.524765,0.170228,-0.218190,0.001953
11,-0.920035,-0.873805,1.481345,0.184297,-0.224860,0.002207
12,-0.929176,-0.893959,1.436841,0.198889,-0.231946,0.002464
13,-0.939149,-0.915194,1.391373,0.213940,-0.239421,0.002719
14,-0.949900,-0.937377,1.345056,0.229383,-0.247257,0.002965
15,-0.961374,-0.960357,1.298017,0.245143,-0.255425,0.003212
16,-0.973495,-0.984019,1.250390,0.261163,-0.263886,0.003454
17,-0.986231,-1.008209,1.202286,0.277368,-0.272623,0.003694
18,-0.999499,-1.032798,1.153847,0.293694,-0.281593,0.003925
19,-1.013245,-1.057667,1.105189,0.310082,-0.290771,0.004155
20,-1.027408,-1.082684,1.056449,0.326465,-0.300123,0.004383
21,-1.041924,-1.107725,1.007753,0.342785,-0.309617,0.004599
22,-1.056746,-1.132666,0.959215,0.358977,-0.319230,0.004818
23,-1.071804,-1.157400,0.910963,0.374989,-0.328926,0.005021
24,-1.087044,-1.181809,0.863119,0.390761,-0.338677,0.005225
25,-1.102405,-1.205787,0.815808,0.406238,-0.348452,0.005430
26,-1.117825,-1.229235,0.769141,0.421373,-0.358221,0.005617
27,-1.133254,-1.252041,0.723228,0.436104,-0.367958,0.005796
28,-1.148637,-1.274135,0.678171,0.450400,-0.377634,0.005971
29,-1.163915,-1.295417,0.634084,0.464205,-0.387221,0.006138
30,-1.179031,-1.315801,0.591063,0.477475,-0.396689,0.006299
31,-1.193928,-1.335214,0.549208,0.490174,-0.406010,0.006445
32,-1.208561,-1.353592,0.508592,0.502264,-0.415162,0.006582
33,-1.222872,-1.370869,0.469301,0.513712,-0.424116,0.006707
34,-1.236808,-1.386977,0.431423,0.524482,-0.432846,0.006828
35,-1.250324,-1.401858,0.395017,0.534541,-0.441328,0.006928
36,-1.263355,-1.415475,0.360150,0.543871,-0.449534,0.007023
37,-1.275888,-1.427769,0.326859,0.552439,-0.457455,0.007101
38,-1.287840,-1.438717,0.295221,0.560233,-0.465052,0.007166
39,-1.299180,-1.448278,0.265266,0.567230,-0.472310,0.007215
40,-1.309863,-1.456413,0.237031,0.573410,-0.479209,0.007255
41,-1.319859,-1.463116,0.210534,0.578771,-0.485734,0.007286
42,-1.329104,-1.468362,0.185814,0.583299,-0.491855,0.007299
43,-1.337568,-1.472135,0.162888,0.586988,-0.497561,0.007302
44,-1.345215,-1.474420,0.141764,0.589830,-0.502833,0.007286
45,-1.352012,-1.475207,0.122444,0.591823,-0.507658,0.007261
46,-1.357913,-1.474511,0.104935,0.592975,-0.512017,0.007227
47,-1.362901,-1.472322,0.089221,0.593287,-0.515903,0.007178
48,-1.366938,-1.468650,0.075303,0.592765,-0.519299,0.007119
49,-1.369999,-1.463504,0.063157,0.591419,-0.522198,0.007047
50,-1.372055,-1.456893,0.052771,0.589257,-0.524587,0.006965
51,-1.373076,-1.448846,0.044130,0.586300,-0.526453,0.006873
52,-1.373047,-1.439368,0.037197,0.582554,-0.527794,0.006771
53,-1.371955,-1.428482,0.031941,0.578039,-0.528606,0.006654
54,-1.369771,-1.416221,0.028331,0.572777,-0.528879,0.006530
55,-1.366491,-1.402614,0.026329,0.566790,-0.528613,0.006400
56,-1.362094,-1.387690,0.025895,0.560100,-0.527804,0.006261
57,-1.356576,-1.371474,0.026984,0.552726,-0.526451,0.006116
58,-1.349924,-1.354016,0.029553,0.544702,-0.524552,0.005959
59,-1.342133,-1.335343,0.033560,0.536049,-0.522109,0.005800
60,-1.333197,-1.315497,0.038953,0.526797,-0.519122,0.005631
61,-1.323114,-1.294515,0.045680,0.516970,-0.515592,0.005467
