Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,38.932819,-36.663918,111.429932,8.540837,8.367373,-0.220729
2,0.014548,0.013828,0.069557,0.000716,-0.010318,0.000027
3,-0.003687,0.215903,1.178928,0.017623,-0.093232,0.000236
4,0.015088,0.013192,0.060229,0.000479,-0.009005,0.000020
5,0.015826,0.013076,0.056822,0.000387,-0.008615,0.000019
6,0.016510,0.012922,0.053564,0.000303,-0.008240,0.000018
7,0.017144,0.012732,0.050448,0.000227,-0.007882,0.000017
8,-0.126948,0.048431,2.730960,-0.022231,-0.197068,0.000461
9,0.016834,0.011083,0.036702,0.000137,-0.006188,0.000015
10,0.017226,0.010866,0.034498,0.000093,-0.005935,0.000015
11,0.017589,0.010631,0.032384,0.000052,-0.005692,0.000014
12,0.017923,0.010380,0.030357,0.000016,-0.005459,0.000013
13,0.018230,0.010113,0.028412,-0.000017,-0.005236,0.000013
14,0.018511,0.009834,0.026546,-0.000046,-0.005022,0.000012
15,0.018767,0.009542,0.024757,-0.000072,-0.004817,0.000012
16,0.018999,0.009240,0.023040,-0.000095,-0.004620,0.000011
17,0.019208,0.008929,0.021393,-0.000115,-0.004432,0.000011
18,0.019396,0.008610,0.019813,-0.000132,-0.004251,0.000010
19,0.019564,0.008283,0.018296,-0.000147,-0.004078,0.000010
20,0.019711,0.007951,0.016839,-0.000160,-0.003912,0.000009
21,0.019840,0.007613,0.015441,-0.000170,-0.003753,0.000009
22,0.019951,0.007270,0.014098,-0.000179,-0.003600,0.000009
23,0.020045,0.006924,0.012808,-0.000186,-0.003453,0.000008
24,0.020122,0.006575,0.011569,-0.000191,-0.003313,0.000008
25,0.020183,0.006223,0.010379,-0.000194,-0.003178,0.000007
26,0.020229,0.005869,0.009235,-0.000196,-0.003049,0.000007
27,0.020261,0.005513,0.008135,-0.000197,-0.002925,0.000007
28,0.020279,0.005157,0.007077,-0.000197,-0.002806,0.000006
29,0.020283,0.004801,0.006060,-0.000195,-0.002691,0.000006
30,0.020274,0.004444,0.005082,-0.000193,-0.002581,0.000006
31,0.020253,0.004087,0.004141,-0.000189,-0.002476,0.000006
32,0.020221,0.003732,0.003235,-0.000185,-0.002375,0.000005
33,0.020176,0.003377,0.002364,-0.000180,-0.002277,0.000005
34,0.020121,0.003023,0.001525,-0.000174,-0.002184,0.000005
